lifesat,peopletrust,freewill,takeadvan,married,childs,fightcountry,impdem,beatchild,wageearn,incomecat,sex,educ,sacsecvalr,resemavalr
6,0,6,3,1,0,1,10,4,0,5,0,3,52.904202,38.153301
9,0,8,7,0,0,0,10,8,0,7,0,9,25.457001,18.5
8,0,8,6,1,3,1,8,7,1,6,1,1,44.398998,21
1,0,10,3,0,0,0,10,2,1,5,1,5,59.7584,31.3333
3,0,10,6,0,0,0,10,1,0,5,1,5,44.971401,27.82
4,0,9,5,0,0,0,10,1,0,7,0,7,16.908001,34.743301
6,0,4,3,1,2,1,10,2,0,6,0,7,29.285801,25.751999
9,0,8,7,0,0,0,9,7,0,8,0,7,25.7115,28.004
4,0,5,5,1,2,1,10,1,0,5,0,3,10.8,34.743301
7,0,9,2,1,0,1,10,6,0,8,0,5,43.8228,31.23
6,1,7,7,1,0,1,9,9,0,6,0,1,13.1263,11.3
5,0,6,7,0,0,1,7,8,0,8,1,4,18.783001,42.271999
5,0,7,7,1,2,1,9,8,0,7,0,5,32.707001,18.5
1,0,10,4,1,0,0,10,4,0,3,0,1,16.751299,34.743301
1,0,1,5,1,2,0,10,5,0,5,0,5,21.820801,25.751999
1,0,1,1,0,0,1,10,1,0,1,0,4,21.0917,43.918697
8,0,7,7,1,2,1,9,8,1,6,1,1,23.644499,18.5
3,0,10,4,1,4,0,10,4,0,4,0,5,16.751299,25.043301
8,0,3,3,1,1,1,4,7,1,5,1,5,18.2304,18.119999
1,0,2,3,1,5,0,9,3,0,4,0,5,49.938801,24.940001
1,0,1,2,1,6,0,8,7,0,5,0,3,41.6054,15.24
1,0,2,3,1,4,0,8,9,0,4,0,4,31.827501,15.24
8,0,4,5,0,6,0,10,8,0,3,0,5,41.6054,34.639999
3,0,8,3,0,3,0,9,8,0,5,0,3,43.987499,27.82
1,0,2,2,1,6,1,5,7,1,3,1,1,26.9596,15.620001
1,0,2,3,1,2,0,9,8,0,4,0,1,24.9387,26.282001
1,0,2,3,1,2,0,8,8,0,3,0,5,33.272099,18.119999
8,0,3,3,1,0,1,9,8,1,2,1,4,14.063799,1.6
1,0,3,3,1,4,0,2,8,0,3,0,1,34.577499,18.119999
1,0,8,4,1,8,1,9,8,0,5,0,3,49.938801,11.9333
5,0,10,3,1,3,1,9,8,0,5,0,2,38.283001,31.3333
5,0,6,8,0,0,1,10,8,0,6,0,5,37.969501,24.41
1,0,8,8,1,5,1,9,9,0,4,0,3,49.938801,21.633301
