"","V161003","V161086","V161087","V161088","V161089","V161090","V161091","V161092","V161093","V161094","V161095","V161096","V161109","V161126","V161134A","V161178","V161181","V161184","V161187","V161189","V161198","V161201","V161295","V161361X","V162096","V162097","V162098","V162099","V162100","V162101","V162105"
"188",3,40,0,50,50,40,0,60,75,50,60,15,3,4,47,6,4,4,1,4,4,2,35,26,70,60,70,70,40,15,50
"189",1,90,0,20,30,85,15,70,85,50,60,15,0,3,70,5,4,4,1,3,2,2,50,27,75,80,40,70,60,30,60
"190",3,85,15,70,50,50,50,85,100,50,85,30,0,2,70,6,3,4,1,3,3,1,40,5,70,60,85,70,30,50,50
"191",3,40,30,70,60,50,50,50,60,50,60,60,1,5,0,5,5,4,3,3,4,3,50,25,65,60,40,70,60,60,60
"192",1,0,75,0,0,0,100,0,0,0,0,60,1,6,45,2,7,7,3,7,7,6,100,17,0,50,50,100,80,85,85
"193",4,30,85,50,50,50,85,0,30,60,40,70,0,5,45,4,4,5,3,5,5,5,60,16,0,30,0,50,50,60,50
"194",3,70,0,50,40,50,15,100,60,50,70,15,0,3,70,5,3,2,1,1,1,2,40,20,40,70,60,50,30,40,30
"195",2,3,56,2,1,15,56,5,11,0,1,84,3,6,35,3,5,6,2,6,6,4,55,22,61,37,54,48,23,84,34
"196",2,30,30,60,50,60,40,40,50,50,30,60,5,4,42,2,4,7,3,5,5,4,80,25,40,45,40,80,50,55,70
"197",3,65,60,50,50,30,50,70,85,50,40,60,5,4,55,2,3,6,1,6,6,5,44,28,62,30,80,69,83,49,49
"198",2,30,0,50,50,85,41,40,50,50,0,0,1,4,50,2,4,4,1,7,7,1,70,15,70,50,40,70,60,50,50
"199",4,85,0,60,60,60,70,100,70,50,85,0,2,4,80,7,6,5,1,1,1,1,20,15,83,32,68,90,70,62,50
"200",2,60,40,50,50,60,50,50,50,50,85,40,4,4,65,4,7,1,1,1,4,1,40,18,41,51,61,85,70,61,51
"201",4,85,50,0,0,15,0,100,60,60,15,15,3,4,70,6,5,6,1,6,3,4,16,12,70,51,71,85,70,60,61
"202",4,60,0,50,50,50,30,85,70,50,70,40,2,5,55,3,3,6,1,3,2,3,50,22,60,70,30,70,60,30,40
"203",2,0,70,50,50,50,60,0,15,50,0,15,1,6,48,1,7,7,3,7,7,3,40,21,15,15,30,70,60,100,50
"204",3,1,2,71,50,52,51,32,30,44,42,61,5,6,20,4,6,4,3,4,4,6,28,22,50,51,50,50,50,76,50
"205",2,0,100,0,0,0,0,0,0,0,30,0,3,4,25,4,4,5,3,4,4,5,40,1,31,40,99,20,14,24,5
"206",4,85,0,50,50,50,50,85,85,50,85,0,0,4,60,5,4,3,1,3,4,3,42,1,70,50,85,70,70,60,60
"207",4,70,15,70,60,73,85,100,100,74,99,49,4,2,54,5,4,1,1,6,5,7,24,1,30,100,70,30,15,0,85
"208",1,40,40,60,50,40,70,40,70,50,30,60,1,5,49,4,5,6,1,6,4,6,45,28,50,41,42,60,60,60,51
"209",2,32,1,30,87,31,2,52,14,16,50,0,2,1,62,7,1,1,3,1,1,1,43,12,69,64,65,72,35,52,50
"210",3,30,70,50,50,30,85,30,30,50,30,30,0,6,40,1,5,6,1,7,6,6,45,18,28,30,31,50,69,85,69
"211",4,15,60,50,50,50,50,85,0,50,40,100,0,6,60,2,4,7,1,6,7,6,40,12,30,0,50,70,85,85,70
"212",4,40,40,50,50,50,50,15,15,50,70,40,2,4,50,4,3,5,3,5,5,7,40,15,60,50,60,60,60,50,40
"213",3,15,40,15,50,30,85,15,30,50,30,60,1,6,50,2,5,7,3,6,6,4,50,20,31,1,41,87,61,85,51
"214",3,15,85,60,50,40,70,40,15,50,40,85,1,5,40,4,6,3,3,4,7,3,40,15,60,50,60,60,70,50,70
"215",1,0,60,50,0,15,50,0,0,50,0,40,2,7,47,1,4,7,2,7,7,5,60,17,1,0,15,50,50,100,50
"216",2,60,40,17,85,50,85,51,60,50,52,50,1,4,60,4,6,3,1,4,3,3,40,21,70,85,67,83,70,79,65
"217",2,31,32,50,50,50,30,30,40,50,30,50,2,4,60,2,4,6,2,7,7,3,60,20,50,50,50,50,40,50,50
"218",3,75,0,50,50,50,0,85,75,50,70,0,0,2,75,4,2,4,1,4,3,2,60,25,61,70,60,69,50,17,50
"219",2,0,100,50,50,50,100,0,0,50,0,0,4,6,45,2,5,6,3,7,7,6,40,21,50,0,30,50,50,100,50
"220",1,100,0,0,10,90,0,100,85,0,90,25,2,2,55,5,5,4,1,2,2,4,32,23,100,100,90,100,80,25,25
"221",1,87,0,0,31,83,0,100,72,49,73,0,0,1,75,7,1,1,1,2,2,1,80,18,99,99,89,99,4,29,41
"222",3,15,15,50,60,40,40,40,60,50,50,40,0,4,55,3,4,4,3,3,5,1,40,11,50,49,50,60,40,51,40
"223",3,15,65,16,8,30,85,30,6,0,15,85,4,6,49,2,5,6,3,6,6,4,50,26,15,30,40,85,60,100,50
"224",4,15,70,60,70,60,60,40,0,50,40,70,7,6,45,5,5,4,2,4,7,5,48,15,41,32,41,61,42,70,50
"225",3,0,70,15,15,15,50,15,70,15,15,30,2,5,45,2,6,4,3,4,4,4,30,17,50,15,30,50,40,40,50
"226",2,43,50,29,32,53,52,62,58,45,51,47,1,5,50,2,5,2,1,2,2,2,40,27,41,31,30,56,16,41,33
"227",4,33,22,70,54,52,51,73,62,53,88,84,0,4,18,6,4,7,3,5,7,6,40,2,73,62,54,56,62,52,49
"228",1,73,2,52,50,49,51,85,86,17,84,42,4,5,60,2,4,3,1,1,1,1,40,25,99,85,62,87,71,71,51
"229",1,0,85,0,0,0,86,0,0,50,0,70,1,7,49,1,7,7,2,7,7,6,30,22,2,1,69,86,86,97,85
"230",4,70,0,55,51,50,51,83,52,51,70,33,3,6,70,7,7,1,1,3,1,1,30,12,6,50,52,100,50,50,50
"231",3,0,85,50,50,50,85,0,0,50,50,100,2,5,31,1,1,7,3,4,7,1,40,13,70,50,100,70,50,50,50
"232",1,40,60,15,15,50,50,15,15,50,40,40,3,6,49,4,6,4,3,7,7,3,45,22,40,40,50,50,40,50,50
"233",2,0,70,0,85,0,85,0,0,50,0,15,2,5,47,2,7,6,3,7,7,6,60,25,50,40,30,100,60,60,60
"234",2,17,90,49,50,49,91,6,5,48,4,77,3,6,38,2,5,6,1,7,7,5,40,20,50,15,16,85,69,86,72
"235",1,0,100,0,0,0,100,0,0,0,0,60,0,6,48,2,7,7,3,4,5,7,40,17,100,15,85,85,85,100,85
"236",2,70,0,70,85,50,0,85,70,50,60,0,1,1,55,7,2,1,1,4,1,1,40,25,50,50,70,70,60,40,50
"237",1,60,0,50,20,60,35,70,60,50,65,15,1,3,52,4,4,1,1,3,4,2,30,25,70,70,50,50,50,40,50
"238",2,60,0,60,15,85,15,85,100,50,70,40,2,4,65,4,5,5,1,6,2,5,37,15,85,70,85,70,15,60,60
"239",2,42,16,53,50,61,30,72,71,50,61,41,2,4,49,4,4,5,1,4,2,2,50,27,51,59,51,83,63,58,48
"240",2,30,15,0,85,15,0,85,40,50,50,40,1,4,40,7,2,7,3,2,1,1,1,8,60,60,60,100,4,60,15
"241",3,0,30,85,50,50,50,60,50,85,50,50,1,4,50,4,4,4,1,4,4,4,40,7,0,30,50,85,50,40,40
"242",3,31,1,40,51,1,1,72,59,0,1,0,0,1,55,7,1,1,3,1,3,1,60,14,42,73,74,75,31,21,39
"243",3,20,20,65,50,60,65,50,65,50,20,60,0,5,46,2,3,7,1,6,5,4,50,28,38,60,30,58,69,85,70
"244",1,71,31,50,50,42,31,40,51,50,51,50,1,4,53,3,6,4,1,3,4,2,40,14,70,61,71,86,31,85,14
"245",1,15,85,40,30,0,100,30,15,30,40,85,0,5,45,2,4,6,3,6,6,6,50,22,15,30,15,50,85,70,50
"246",1,50,2,17,50,60,0,85,70,85,71,0,0,3,58,3,6,6,1,6,5,3,20,27,61,61,41,59,60,51,59
"247",2,60,30,50,50,50,50,85,15,50,50,50,4,4,70,4,4,4,1,4,4,4,60,12,60,60,50,60,50,60,80
"248",1,40,0,30,85,50,30,60,50,50,30,0,4,2,54,6,2,1,1,2,3,2,45,26,86,85,70,85,42,41,70
"249",2,0,0,50,60,0,0,0,60,50,15,15,2,5,55,5,7,1,3,3,7,7,44,14,40,40,70,70,40,30,40
"250",4,30,71,49,52,51,78,1,15,50,32,75,4,6,48,2,6,6,3,4,5,6,65,21,30,0,2,50,15,98,50
"251",4,0,50,50,70,15,40,1,0,15,0,50,3,4,51,1,2,7,2,7,7,7,40,26,0,0,40,70,15,85,30
"252",2,0,70,40,10,0,80,0,2,2,0,10,1,4,52,4,4,1,3,4,4,4,45,20,70,40,40,85,15,70,30
"253",1,60,0,70,70,70,15,85,60,60,60,15,2,2,46,6,3,1,1,5,4,1,40,24,95,100,85,85,31,30,30
